name,tr_gap,tr_global_acc,tr_round,tr_seen_acc,tr_void_acc
GRID_ace_T50_seed11_d5_B1,0.3957249999999999,0.2912,39,0.4474,0.182025
GRID_ace_T50_seed11_d5_B1,0.4098,0.3492,40,0.5218,0.2203
GRID_ace_T50_seed11_d5_B1,0.4467,0.4205,41,0.5538,0.235175
GRID_ace_T50_seed11_d5_B1,0.44155,0.4396,42,0.5430999999999999,0.2255999999999999
GRID_ace_T50_seed11_d5_B1,0.432375,0.4281,43,0.5464,0.2252749999999999
GRID_ace_T50_seed11_d5_B1,0.2975625,0.2339,44,0.4561,0.2204125
GRID_ace_T50_seed11_d5_B1,0.382525,0.306,45,0.5396000000000001,0.2486
GRID_ace_T50_seed11_d5_B1,0.4510499999999999,0.3746,46,0.5748500000000001,0.2536
GRID_ace_T50_seed11_d5_B1,0.394675,0.372,47,0.58345,0.2669499999999999
GRID_ace_T50_seed11_d5_B1,0.3689375,0.3472,48,0.54315,0.2517124999999999
GRID_ace_T50_seed11_d5_B1,0.4432625,0.4428,49,0.56765,0.2485875
GRID_ace_T50_seed11_d5_B3,0.32115,0.1558,0,0.3334,0.125025
GRID_ace_T50_seed11_d5_B3,0.336175,0.2125,1,0.3842,0.144075
GRID_ace_T50_seed11_d5_B3,0.3609375,0.2707,2,0.4125,0.1546875
GRID_ace_T50_seed11_d5_B3,0.3755374999999999,0.2989,3,0.4295,0.1613125
GRID_ace_T50_seed11_d5_B3,0.359675,0.3254,4,0.41525,0.156625
GRID_ace_T50_seed11_d5_B3,0.3943375,0.3209,5,0.4191499999999999,0.1588375
GRID_ace_T50_seed11_d5_B3,0.382575,0.3475,6,0.4509,0.1740249999999999
GRID_ace_T50_seed11_d5_B3,0.4041374999999999,0.3602,7,0.46935,0.1811624999999999
GRID_ace_T50_seed11_d5_B3,0.2697375,0.1627,8,0.2166,0.1557875
GRID_ace_T50_seed11_d5_B3,0.2711,0.1796,9,0.2933,0.1683
GRID_ace_T50_seed11_d5_B3,0.3093125,0.1485,10,0.36205,0.1813625
GRID_ace_T50_seed11_d5_B3,0.3132,0.1627,11,0.39275,0.17675
GRID_ace_T50_seed11_d5_B3,0.3743374999999999,0.2061,12,0.3793499999999999,0.1824125
GRID_ace_T50_seed11_d5_B3,0.37815,0.269,13,0.47555,0.20905
GRID_ace_T50_seed11_d5_B3,0.2380625,0.1241,14,0.2468999999999999,0.1410875
GRID_ace_T50_seed11_d5_B3,0.220475,0.1278,15,0.3137,0.17045
GRID_ace_T50_seed11_d5_B3,0.4058999999999999,0.3637,16,0.4862499999999999,0.19475
GRID_ace_T50_seed11_d5_B3,0.39725,0.3466,17,0.4535,0.1806249999999999
GRID_ace_T50_seed11_d5_B3,0.3456374999999999,0.1657,18,0.3631999999999999,0.1673874999999999
GRID_ace_T50_seed11_d5_B3,0.40825,0.2744,19,0.4513000000000001,0.1767999999999999
