name,tr_gap,tr_global_acc,tr_round,tr_seen_acc,tr_void_acc
PAPER_dcas_T50_seed11_d5_B3,0.31703749999999997,0.3052,4,0.34845,0.1625125
PAPER_dcas_T50_seed11_d5_B3,0.3173125,0.3515,5,0.35785,0.17978750000000002
PAPER_dcas_T50_seed11_d5_B3,0.3567375,0.3934,6,0.39785000000000004,0.2015375
PAPER_dcas_T50_seed11_d5_B3,0.365775,0.4094,7,0.41934999999999995,0.23497500000000002
PAPER_dcas_T50_seed11_d5_B3,0.169425,0.2692,8,0.12410000000000002,0.22384999999999997
PAPER_dcas_T50_seed11_d5_B3,0.2257625,0.2958,9,0.24625,0.2678125
PAPER_dcas_T50_seed11_d5_B3,0.24737499999999998,0.2892,10,0.24215,0.23502499999999996
PAPER_dcas_T50_seed11_d5_B3,0.20534999999999998,0.361,11,0.29745000000000005,0.28057499999999996
PAPER_dcas_T50_seed11_d5_B3,0.254725,0.3575,12,0.32320000000000004,0.2677
PAPER_dcas_T50_seed11_d5_B3,0.2714,0.4036,13,0.37679999999999997,0.31005
PAPER_dcas_T50_seed11_d5_B3,0.22409999999999997,0.2324,14,0.29005000000000003,0.225675
PAPER_dcas_T50_seed11_d5_B3,0.20015,0.2301,15,0.28900000000000003,0.22537499999999996
PAPER_dcas_T50_seed11_d5_B3,0.27435,0.2237,16,0.3115,0.212875
PAPER_dcas_T50_seed11_d5_B3,0.264925,0.3227,17,0.3579,0.236775
PAPER_dcas_T50_seed11_d5_B3,0.34295000000000003,0.3583,18,0.4523,0.28042500000000004
PAPER_dcas_T50_seed11_d5_B3,0.29042500000000004,0.3771,19,0.4192,0.25120000000000003
PAPER_dcas_T50_seed11_d5_B3,0.318475,0.4333,20,0.42655000000000004,0.2638
PAPER_dcas_T50_seed11_d5_B3,0.33075000000000004,0.4361,21,0.4375,0.270125
PAPER_dcas_T50_seed11_d5_B3,0.2869,0.2609,22,0.3102,0.168325
PAPER_dcas_T50_seed11_d5_B3,0.34658749999999994,0.4167,23,0.41484999999999994,0.2467875
PAPER_dcas_T50_seed11_d5_B3,0.378575,0.416,24,0.44329999999999997,0.25755
PAPER_dcas_T50_seed11_d5_B3,0.35575000000000007,0.4385,25,0.40354999999999996,0.21942499999999998
PAPER_dcas_T50_seed11_d5_B3,0.35800000000000004,0.3596,26,0.42200000000000004,0.25250000000000006
PAPER_dcas_T50_seed11_d5_B3,0.3612,0.415,27,0.44914999999999994,0.25752499999999995
PAPER_dcas_T50_seed11_d5_B3,0.311175,0.395,28,0.46129999999999993,0.2713
PAPER_dcas_T50_seed11_d5_B3,0.34978750000000003,0.4382,29,0.4345,0.24268750000000003
PAPER_dcas_T50_seed11_d5_B3,0.3412625,0.3971,30,0.47639999999999993,0.2655875
PAPER_dcas_T50_seed11_d5_B3,0.3328125,0.4177,31,0.43620000000000003,0.2387625
PAPER_dcas_T50_seed11_d5_B3,0.42498749999999996,0.4361,32,0.4906,0.29691249999999997
PAPER_dcas_T50_seed11_d5_B3,0.44905,0.4709,33,0.45665000000000006,0.26965000000000006
PAPER_dcas_T50_seed11_d5_B3,0.38481249999999995,0.4336,34,0.47024999999999995,0.2699375
PAPER_dcas_T50_seed11_d5_B3,0.42433750000000003,0.4175,35,0.4686,0.27866250000000004
PAPER_dcas_T50_seed11_d5_B3,0.35151250000000006,0.4249,36,0.43205,0.2794875
PAPER_dcas_T50_seed11_d5_B3,0.4430124999999999,0.4936,37,0.48505000000000004,0.28986249999999997
PAPER_dcas_T50_seed11_d5_B3,0.44800000000000006,0.4959,38,0.4838,0.2868
PAPER_dcas_T50_seed11_d5_B3,0.4065625,0.4807,39,0.48195,0.2801375
PAPER_dcas_T50_seed11_d5_B3,0.40313750000000004,0.474,40,0.47515,0.27283749999999996
PAPER_dcas_T50_seed11_d5_B3,0.4575,0.4888,41,0.49050000000000005,0.29450000000000004
PAPER_dcas_T50_seed11_d5_B3,0.41568750000000004,0.4048,42,0.48109999999999997,0.2852875
PAPER_dcas_T50_seed11_d5_B3,0.3982875,0.4742,43,0.4761,0.2906625000000001
PAPER_dcas_T50_seed11_d5_B3,0.4152125,0.4689,44,0.47729999999999995,0.2867375
PAPER_dcas_T50_seed11_d5_B3,0.4076625,0.5238,45,0.48369999999999996,0.2766375
PAPER_dcas_T50_seed11_d5_B3,0.41187500000000005,0.4751,46,0.4808,0.30855
PAPER_dcas_T50_seed11_d5_B3,0.37635,0.5111,47,0.50765,0.319775
PAPER_dcas_T50_seed11_d5_B3,0.40618750000000003,0.5301,48,0.534,0.32868749999999997
PAPER_dcas_T50_seed11_d5_B3,0.34657499999999997,0.4776,49,0.47874999999999995,0.27375
PAPER_dcas_T50_seed12_d5_B3,0.270875,0.1523,0,0.20764999999999997,0.08277500000000002
PAPER_dcas_T50_seed12_d5_B3,0.2992375,0.1739,1,0.2219,0.0969625
PAPER_dcas_T50_seed12_d5_B3,0.3242125,0.2087,2,0.2652,0.14101249999999999
PAPER_dcas_T50_seed12_d5_B3,0.35973749999999993,0.2793,3,0.29525,0.1714375
PAPER_dcas_T50_seed12_d5_B3,0.37423750000000006,0.2861,4,0.3052,0.1817625
PAPER_dcas_T50_seed12_d5_B3,0.34307499999999996,0.3226,5,0.3214,0.20002500000000004
PAPER_dcas_T50_seed12_d5_B3,0.33443750000000005,0.3034,6,0.2954,0.17146250000000002
